Benchmark started.
Connection established
Adding initial posts 
Initial posts added, 74.89017868041992
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 200000, 'avgObjSize': 1086.0, 'dataSize': 217200000, 'storageSize': 63262720, 'numExtents': 0, 'indexes': 1, 'indexSize': 1839104, 'fileSize': 0, 'nsSizeMB': 0, 'ok': 1}
2018-05-25 14:39:06.138202, 0.0, started, Thread-0, aws-200000-5

2018-05-25 14:39:06.149803, 0.0, started, Thread-1, aws-200000-5

2018-05-25 14:39:06.166447, 0.0, started, Thread-2, aws-200000-5

2018-05-25 14:39:06.187054, 0.0, started, Thread-3, aws-200000-5

2018-05-25 14:39:06.202581, 0.0, started, Thread-4, aws-200000-5

2018-05-25 14:39:06.138510, 3.577829599380493, upvote, Thread-0, aws-200000-5

2018-05-25 14:39:06.187385, 3.5382156372070312, upvote, Thread-3, aws-200000-5

2018-05-25 14:39:06.166777, 4.5808374881744385, read, Thread-2, aws-200000-5

2018-05-25 14:39:06.150162, 4.597839832305908, read, Thread-1, aws-200000-5

2018-05-25 14:39:06.202910, 4.557939291000366, read, Thread-4, aws-200000-5

2018-05-25 14:39:09.726836, 1.617295265197754, read, Thread-0, aws-200000-5

2018-05-25 14:39:10.758096, 0.5911962985992432, upvote, Thread-2, aws-200000-5

2018-05-25 14:39:09.736074, 1.6168782711029053, read, Thread-3, aws-200000-5

2018-05-25 14:39:10.758871, 1.6205577850341797, comment, Thread-1, aws-200000-5

2018-05-25 14:39:10.771331, 1.61720871925354, read, Thread-4, aws-200000-5

2018-05-25 14:39:11.354629, 1.6176848411560059, read, Thread-0, aws-200000-5

2018-05-25 14:39:11.359755, 1.6168041229248047, read, Thread-2, aws-200000-5

2018-05-25 14:39:12.389933, 0.589411735534668, upvote, Thread-1, aws-200000-5

2018-05-25 14:39:11.363337, 1.6166820526123047, read, Thread-3, aws-200000-5

2018-05-25 14:39:12.399017, 1.6176741123199463, read, Thread-4, aws-200000-5

2018-05-25 14:39:12.982924, 1.6185839176177979, comment, Thread-0, aws-200000-5

2018-05-25 14:39:12.986986, 1.6172749996185303, read, Thread-2, aws-200000-5

2018-05-25 14:39:12.990613, 1.61698317527771, read, Thread-3, aws-200000-5

2018-05-25 14:39:12.990014, 1.6182479858398438, comment, Thread-1, aws-200000-5

2018-05-25 14:39:14.612111, 0.5894670486450195, upvote, Thread-0, aws-200000-5

2018-05-25 14:39:14.618080, 0.5889811515808105, upvote, Thread-3, aws-200000-5

2018-05-25 14:39:14.027166, 1.617445468902588, read, Thread-4, aws-200000-5

2018-05-25 14:39:15.212262, 0.5892946720123291, upvote, Thread-0, aws-200000-5

2018-05-25 14:39:14.614726, 1.6170799732208252, read, Thread-2, aws-200000-5

2018-05-25 14:39:14.618721, 1.6168386936187744, read, Thread-1, aws-200000-5

2018-05-25 14:39:15.217787, 1.6175436973571777, read, Thread-3, aws-200000-5

2018-05-25 14:39:15.655067, 1.617199182510376, read, Thread-4, aws-200000-5

2018-05-25 14:39:15.812018, 1.6171371936798096, read, Thread-0, aws-200000-5

2018-05-25 14:39:16.242535, 1.617091417312622, read, Thread-2, aws-200000-5

2018-05-25 14:39:16.246290, 1.6170399188995361, read, Thread-1, aws-200000-5

2018-05-25 14:39:17.870099, 0.5895118713378906, upvote, Thread-2, aws-200000-5

2018-05-25 14:39:16.845808, 1.6170601844787598, read, Thread-3, aws-200000-5

2018-05-25 14:39:17.873885, 0.5895545482635498, upvote, Thread-1, aws-200000-5

2018-05-25 14:39:17.282827, 1.6174354553222656, read, Thread-4, aws-200000-5

2018-05-25 14:39:17.439830, 1.617206335067749, read, Thread-0, aws-200000-5

2018-05-25 14:39:18.473933, 0.5892670154571533, upvote, Thread-1, aws-200000-5

2018-05-25 14:39:18.470157, 1.6175768375396729, read, Thread-2, aws-200000-5

2018-05-25 14:39:18.473304, 1.6170203685760498, read, Thread-3, aws-200000-5

2018-05-25 14:39:18.910836, 1.5970451831817627, post, Thread-4, aws-200000-5

2018-05-25 14:39:19.067526, 1.6170868873596191, read, Thread-0, aws-200000-5

2018-05-25 14:39:19.073681, 1.6169891357421875, read, Thread-1, aws-200000-5

2018-05-25 14:39:20.518348, 0.5892210006713867, upvote, Thread-4, aws-200000-5

2018-05-25 14:39:20.098271, 1.6174068450927734, read, Thread-2, aws-200000-5

2018-05-25 14:39:20.100817, 1.6167914867401123, read, Thread-3, aws-200000-5

2018-05-25 14:39:20.695095, 1.617368221282959, read, Thread-0, aws-200000-5

2018-05-25 14:39:21.726116, 0.5892996788024902, upvote, Thread-2, aws-200000-5

2018-05-25 14:39:20.701133, 1.6167771816253662, read, Thread-1, aws-200000-5

2018-05-25 14:39:21.118044, 1.6173920631408691, read, Thread-4, aws-200000-5

2018-05-25 14:39:22.323123, 0.5895354747772217, upvote, Thread-0, aws-200000-5

2018-05-25 14:39:22.326156, 0.5890774726867676, upvote, Thread-2, aws-200000-5

2018-05-25 14:39:22.746064, 0.5892541408538818, upvote, Thread-4, aws-200000-5

2018-05-25 14:39:21.728076, 1.61712646484375, read, Thread-3, aws-200000-5

2018-05-25 14:39:22.923172, 0.5893545150756836, upvote, Thread-0, aws-200000-5

2018-05-25 14:39:23.355684, 0.5892627239227295, upvote, Thread-3, aws-200000-5

2018-05-25 14:39:22.328594, 1.6175451278686523, read, Thread-1, aws-200000-5

2018-05-25 14:39:22.925705, 1.6171886920928955, read, Thread-2, aws-200000-5

2018-05-25 14:39:23.955455, 0.5894038677215576, upvote, Thread-3, aws-200000-5

2018-05-25 14:39:23.345829, 1.6171903610229492, read, Thread-4, aws-200000-5

2018-05-25 14:39:23.523139, 1.6173181533813477, read, Thread-0, aws-200000-5

2018-05-25 14:39:23.956832, 1.6170375347137451, read, Thread-1, aws-200000-5

2018-05-25 14:39:24.553387, 1.5852701663970947, post, Thread-2, aws-200000-5

2018-05-25 14:39:24.555335, 1.617131233215332, read, Thread-3, aws-200000-5

2018-05-25 14:39:25.584370, 0.5892229080200195, upvote, Thread-1, aws-200000-5

2018-05-25 14:39:24.973529, 1.6172912120819092, read, Thread-4, aws-200000-5

2018-05-25 14:39:25.151066, 1.6172595024108887, read, Thread-0, aws-200000-5

2018-05-25 14:39:26.149111, 1.6171464920043945, read, Thread-2, aws-200000-5

2018-05-25 14:39:26.182980, 1.6169087886810303, read, Thread-3, aws-200000-5

2018-05-25 14:39:26.184052, 1.6167893409729004, read, Thread-1, aws-200000-5

2018-05-25 14:39:26.601454, 1.616994857788086, read, Thread-4, aws-200000-5

2018-05-25 14:39:26.778806, 1.617089033126831, read, Thread-0, aws-200000-5

2018-05-25 14:39:27.810374, 0.589247465133667, upvote, Thread-3, aws-200000-5

2018-05-25 14:39:27.776785, 1.6172869205474854, read, Thread-2, aws-200000-5

2018-05-25 14:39:27.811287, 1.6168735027313232, read, Thread-1, aws-200000-5

2018-05-25 14:39:28.229158, 1.617072582244873, read, Thread-4, aws-200000-5

2018-05-25 14:39:28.406637, 1.618363380432129, comment, Thread-0, aws-200000-5

2018-05-25 14:39:28.410066, 1.6170616149902344, read, Thread-3, aws-200000-5

2018-05-25 14:39:30.035512, 0.5893411636352539, upvote, Thread-0, aws-200000-5

2018-05-25 14:39:30.037619, 0.5890977382659912, upvote, Thread-3, aws-200000-5

2018-05-25 14:39:29.404535, 1.6172723770141602, read, Thread-2, aws-200000-5

2018-05-25 14:39:29.438871, 1.6171183586120605, read, Thread-1, aws-200000-5

2018-05-25 14:39:29.856750, 1.61714506149292, read, Thread-4, aws-200000-5

2018-05-25 14:39:30.635373, 1.6172711849212646, read, Thread-0, aws-200000-5

2018-05-25 14:39:30.637158, 1.6168572902679443, read, Thread-3, aws-200000-5

2018-05-25 14:39:31.032321, 1.6171636581420898, read, Thread-2, aws-200000-5

2018-05-25 14:39:31.066496, 1.6171088218688965, read, Thread-1, aws-200000-5

2018-05-25 14:39:32.263179, 0.5892961025238037, upvote, Thread-0, aws-200000-5

2018-05-25 14:39:31.484392, 1.6171703338623047, read, Thread-4, aws-200000-5

2018-05-25 14:39:32.862948, 0.589543342590332, upvote, Thread-0, aws-200000-5

2018-05-25 14:39:32.264531, 1.6184799671173096, comment, Thread-3, aws-200000-5

2018-05-25 14:39:32.659951, 1.6172888278961182, read, Thread-2, aws-200000-5

