Benchmark started.
Connection established
Adding initial posts 
Initial posts added, 2.2036144733428955
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 100000, 'avgObjSize': 1086.0, 'dataSize': 108600000, 'storageSize': 20721664, 'numExtents': 0, 'indexes': 1, 'indexSize': 4096, 'fileSize': 0, 'nsSizeMB': 0, 'ok': 1}
2018-06-01 14:39:44.305038, 0.0, started, Thread-0, aws-100000-5

2018-06-01 14:39:44.321797, 0.0, started, Thread-1, aws-100000-5

2018-06-01 14:39:44.351477, 0.0, started, Thread-2, aws-100000-5

2018-06-01 14:39:44.305385, 0.06669831275939941, read, Thread-0, aws-100000-5

2018-06-01 14:39:44.373581, 0.0, started, Thread-3, aws-100000-5

2018-06-01 14:39:44.322158, 0.06143307685852051, upvote, Thread-1, aws-100000-5

2018-06-01 14:39:44.384825, 0.0029549598693847656, read, Thread-0, aws-100000-5

2018-06-01 14:39:44.394014, 0.006636142730712891, read, Thread-1, aws-100000-5

2018-06-01 14:39:44.398218, 0.0025434494018554688, read, Thread-0, aws-100000-5

2018-06-01 14:39:44.412451, 0.0, started, Thread-4, aws-100000-5

2018-06-01 14:39:44.411125, 0.0021648406982421875, read, Thread-1, aws-100000-5

2018-06-01 14:39:44.411726, 0.0016696453094482422, read, Thread-0, aws-100000-5

2018-06-01 14:39:44.351783, 0.06732034683227539, upvote, Thread-2, aws-100000-5

2018-06-01 14:39:44.373939, 0.04677724838256836, read, Thread-3, aws-100000-5

2018-06-01 14:39:44.423735, 0.0014204978942871094, read, Thread-1, aws-100000-5

2018-06-01 14:39:44.424355, 0.0012943744659423828, read, Thread-0, aws-100000-5

2018-06-01 14:39:44.429538, 0.001390695571899414, read, Thread-2, aws-100000-5

2018-06-01 14:39:44.431253, 0.0013344287872314453, read, Thread-3, aws-100000-5

2018-06-01 14:39:44.435591, 0.001432657241821289, read, Thread-1, aws-100000-5

2018-06-01 14:39:44.436198, 0.0013270378112792969, read, Thread-0, aws-100000-5

2018-06-01 14:39:44.412780, 0.026991844177246094, read, Thread-4, aws-100000-5

2018-06-01 14:39:44.441369, 0.0013637542724609375, read, Thread-2, aws-100000-5

2018-06-01 14:39:44.443062, 0.0013818740844726562, read, Thread-3, aws-100000-5

2018-06-01 14:39:44.447487, 0.001665353775024414, upvote, Thread-1, aws-100000-5

2018-06-01 14:39:44.448129, 0.00347137451171875, upvote, Thread-0, aws-100000-5

2018-06-01 14:39:44.450231, 0.003412485122680664, upvote, Thread-4, aws-100000-5

2018-06-01 14:39:44.453219, 0.0020856857299804688, upvote, Thread-2, aws-100000-5

2018-06-01 14:39:44.454902, 0.0014259815216064453, read, Thread-3, aws-100000-5

2018-06-01 14:39:44.459634, 0.001458883285522461, read, Thread-1, aws-100000-5

2018-06-01 14:39:44.462067, 0.0013780593872070312, read, Thread-0, aws-100000-5

2018-06-01 14:39:44.464122, 0.0013751983642578125, read, Thread-4, aws-100000-5

2018-06-01 14:39:44.465786, 0.001470804214477539, read, Thread-2, aws-100000-5

2018-06-01 14:39:44.466783, 0.003195524215698242, upvote, Thread-3, aws-100000-5

2018-06-01 14:39:44.471578, 0.001531839370727539, read, Thread-1, aws-100000-5

2018-06-01 14:39:44.473917, 0.00159454345703125, upvote, Thread-0, aws-100000-5

2018-06-01 14:39:44.476537, 0.0015223026275634766, read, Thread-4, aws-100000-5

2018-06-01 14:39:44.477675, 0.0014979839324951172, upvote, Thread-2, aws-100000-5

2018-06-01 14:39:44.480405, 0.0014760494232177734, upvote, Thread-3, aws-100000-5

2018-06-01 14:39:44.483556, 0.0014548301696777344, read, Thread-1, aws-100000-5

2018-06-01 14:39:44.485952, 0.0016169548034667969, upvote, Thread-0, aws-100000-5

2018-06-01 14:39:44.488514, 0.0015211105346679688, read, Thread-4, aws-100000-5

2018-06-01 14:39:44.489643, 0.0014541149139404297, read, Thread-2, aws-100000-5

2018-06-01 14:39:44.492300, 0.0014767646789550781, upvote, Thread-3, aws-100000-5

2018-06-01 14:39:44.495458, 0.0015864372253417969, upvote, Thread-1, aws-100000-5

2018-06-01 14:39:44.498014, 0.001409292221069336, read, Thread-0, aws-100000-5

2018-06-01 14:39:44.500543, 0.0014164447784423828, read, Thread-4, aws-100000-5

2018-06-01 14:39:44.501554, 0.0013937950134277344, read, Thread-2, aws-100000-5

2018-06-01 14:39:44.504243, 0.0013892650604248047, read, Thread-3, aws-100000-5

2018-06-01 14:39:44.507545, 0.0016040802001953125, upvote, Thread-1, aws-100000-5

2018-06-01 14:39:44.509909, 0.0013713836669921875, read, Thread-0, aws-100000-5

2018-06-01 14:39:44.512431, 0.0014159679412841797, read, Thread-4, aws-100000-5

2018-06-01 14:39:44.513391, 0.0016410350799560547, comment, Thread-2, aws-100000-5

2018-06-01 14:39:44.516082, 0.0013501644134521484, read, Thread-3, aws-100000-5

2018-06-01 14:39:44.519611, 0.0015130043029785156, read, Thread-1, aws-100000-5

2018-06-01 14:39:44.521728, 0.0014338493347167969, read, Thread-0, aws-100000-5

