Benchmark started.
Connection established
Adding initial posts 
Initial posts added, 1.5552561283111572
{'db': 'test_perf', 'collections': 1, 'views': 0, 'objects': 400435, 'avgObjSize': 1095.922209597063, 'dataSize': 438845610.0, 'storageSize': 78286848.0, 'numExtents': 0, 'indexes': 1, 'indexSize': 3801088.0, 'fsUsedSize': 223008821248.0, 'fsTotalSize': 494586032128.0, 'ok': 1.0}
2018-08-02 16:06:03.652881, 0.0, started, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:03.654881, 0.0, started, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.658885, 0.0, started, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:03.662888, 0.0, started, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:03.664888, 0.0, started, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:03.653881, 0.039029598236083984, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:03.703438, 0.0010004043579101562, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.714986, 0.000997781753540039, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.726995, 0.0009992122650146484, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.739001, 0.0010006427764892578, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.655883, 0.09212231636047363, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:03.751007, 0.0010027885437011719, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:03.659887, 0.09712505340576172, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:03.759015, 0.002002716064453125, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.763018, 0.0009984970092773438, comment, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:03.768018, 0.001001119613647461, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:03.663887, 0.1051325798034668, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:03.772050, 0.0009720325469970703, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.775024, 0.002004861831665039, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:03.665888, 0.11313867568969727, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:03.780039, 0.0009889602661132812, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.781027, 0.0010023117065429688, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:03.784031, 0.0010001659393310547, comment, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.788033, 0.0010025501251220703, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:03.790035, 0.0009989738464355469, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:03.792037, 0.002007722854614258, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.793543, 0.0010006427764892578, read, 2118, Thread-3, windows-400000-5----

2018-08-02 16:06:03.795545, 0.0015003681182861328, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:03.799757, 0.00099945068359375, comment, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:03.801758, 0.00099945068359375, comment, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:03.804758, 0.0010006427764892578, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.805759, 0.0005006790161132812, read, 2118, Thread-3, windows-400000-5----

2018-08-02 16:06:03.807262, 0.0010008811950683594, read, 2118, Thread-1, windows-400000-5----

2018-08-02 16:06:03.811265, 0.0010018348693847656, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.813267, 0.001001119613647461, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:03.816271, 0.0009992122650146484, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.817270, 0.0009996891021728516, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:03.819273, 0.000997781753540039, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.824275, 0.002000570297241211, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.825275, 0.0020012855529785156, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:03.828277, 0.0020024776458740234, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.829279, 0.0010006427764892578, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:03.831281, 0.0009984970092773438, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.837282, 0.001001119613647461, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.838282, 0.0, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:03.842286, 0.0020029544830322266, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.841284, 0.003004312515258789, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:03.843287, 0.0020008087158203125, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:03.849292, 0.0009984970092773438, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:03.850290, 0.0, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.855294, 0.0020008087158203125, read, 2118, Thread-2, windows-400000-5----

2018-08-02 16:06:03.856294, 0.001001119613647461, comment, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:03.856294, 0.001001119613647461, comment, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.861298, 0.0010001659393310547, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.862299, 0.0010037422180175781, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:03.868302, 0.0020036697387695312, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:03.869303, 0.001003265380859375, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:03.869303, 0.001003265380859375, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.873307, 0.0009996891021728516, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.874307, 0.0010006427764892578, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:03.881313, 0.001999378204345703, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.882312, 0.0010006427764892578, upvote, 0, Thread-2, windows-400000-5----

2018-08-02 16:06:03.882312, 0.0010006427764892578, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:03.885315, 0.0009996891021728516, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.886315, 0.0, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:03.894322, 0.0035028457641601562, read, 1086, Thread-3, windows-400000-5----

2018-08-02 16:06:03.895322, 0.00250244140625, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:03.896323, 0.0020008087158203125, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.897326, 0.000997781753540039, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.898824, 0.0015015602111816406, upvote, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:03.908313, 0.0050029754638671875, upvote, 0, Thread-1, windows-400000-5----

2018-08-02 16:06:03.909315, 0.004001140594482422, comment, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:03.910315, 0.002000093460083008, upvote, 0, Thread-0, windows-400000-5----

2018-08-02 16:06:03.911316, 0.002000093460083008, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.912316, 0.0009992122650146484, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:03.925325, 0.004002571105957031, read, 1086, Thread-0, windows-400000-5----

2018-08-02 16:06:03.926327, 0.0030007362365722656, read, 1086, Thread-2, windows-400000-5----

2018-08-02 16:06:03.924323, 0.005004405975341797, read, 1086, Thread-4, windows-400000-5----

2018-08-02 16:06:03.928325, 0.0020046234130859375, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:03.928325, 0.0020046234130859375, upvote, 0, Thread-3, windows-400000-5----

2018-08-02 16:06:03.940332, 0.005005359649658203, comment, 0, Thread-4, windows-400000-5----

2018-08-02 16:06:03.944337, 0.0010008811950683594, read, 1086, Thread-1, windows-400000-5----

2018-08-02 16:06:03.941334, 0.004003286361694336, read, 1086, Thread-2, windows-400000-5----

